plan,behavior,bucket,n,d30_pct,d60_pct,d60_eligible_n,churned_pct,rr,chi2_p,sig
free,mcp_tool_call,0,308794,27.8,9.1,14363,71.8,,,—
free,mcp_tool_call,1-2,1068,11.4,7.6,341,28.9,0.41,0.0,***
free,mcp_tool_call,3-5,582,15.7,10.9,201,30.6,0.57,0.0,***
free,mcp_tool_call,5+,1099,16.7,9.7,794,57.0,0.6,0.0,***
pro-trial,mcp_tool_call,0,182853,5.7,15.1,397,30.0,,,—
pro-trial,mcp_tool_call,1-2,1598,2.7,9.1,11,0.4,0.48,1e-06,***
pro-trial,mcp_tool_call,3-5,813,3.7,0.0,1,0.5,0.66,0.022117,*
pro-trial,mcp_tool_call,5+,873,4.0,15.0,20,0.7,0.71,0.046584,*
pro,mcp_tool_call,0,53401,73.2,80.4,24700,5.8,,,—
pro,mcp_tool_call,1-2,266,48.7,62.9,35,2.3,0.67,0.0,***
pro,mcp_tool_call,3-5,152,42.3,66.7,18,1.3,0.58,0.0,***
pro,mcp_tool_call,5+,267,56.6,59.4,69,2.6,0.77,0.0,***
max,mcp_tool_call,0,3402,80.3,87.1,1553,3.0,,,—
max,mcp_tool_call,1+,194,70.8,69.7,33,0.5,0.88,0.006854,**
teams-v2,mcp_tool_call,0,15626,78.1,67.1,2762,22.2,,,—
teams-v2,mcp_tool_call,1-2,252,64.6,66.7,78,4.4,0.83,8e-06,***
teams-v2,mcp_tool_call,3-5,205,63.8,59.7,67,5.9,0.82,1.2e-05,***
teams-v2,mcp_tool_call,5+,870,71.2,62.4,303,5.9,0.91,4.4e-05,***
free,computer_use,0,298586,31.1,13.1,9960,72.6,,,—
free,computer_use,1-2,1320,4.0,3.0,396,36.4,0.13,0.0,***
free,computer_use,3-5,1447,5.4,3.1,522,39.2,0.17,0.0,***
free,computer_use,5+,10190,5.2,2.1,4821,47.2,0.17,0.0,***
pro-trial,computer_use,0,172346,6.0,14.9,309,31.8,,,—
pro-trial,computer_use,1-2,1343,3.0,18.2,11,0.4,0.51,1.8e-05,***
pro-trial,computer_use,3-5,1067,3.0,14.3,7,0.6,0.5,0.000114,***
pro-trial,computer_use,5+,11381,2.7,14.7,102,0.5,0.46,0.0,***
pro,computer_use,0,52141,73.9,80.6,24572,5.9,,,—
pro,computer_use,1-2,148,47.6,61.5,13,0.7,0.64,0.0,***
pro,computer_use,3-5,144,38.8,46.2,13,2.1,0.53,0.0,***
pro,computer_use,5+,1653,46.6,57.1,224,1.6,0.63,0.0,***
max,computer_use,0,3263,80.8,87.0,1541,3.0,,,—
max,computer_use,1+,333,69.4,75.6,45,0.9,0.86,2.9e-05,***
teams-v2,computer_use,0,16272,77.9,67.2,2955,21.4,,,—
teams-v2,computer_use,1+,681,63.9,57.6,255,7.9,0.82,0.0,***
free,web_search,0,306015,28.8,10.1,13318,72.0,,,—
free,web_search,1-2,2378,6.0,3.8,993,41.1,0.21,0.0,***
free,web_search,3-5,1490,4.7,3.2,711,46.6,0.16,0.0,***
free,web_search,5+,1660,8.8,4.6,677,36.8,0.31,0.0,***
pro-trial,web_search,0,175026,5.9,14.8,352,31.3,,,—
pro-trial,web_search,1-2,3243,2.6,16.7,24,0.6,0.44,0.0,***
pro-trial,web_search,3-5,2421,3.2,12.5,24,0.2,0.54,0.0,***
pro-trial,web_search,5+,5447,2.9,17.2,29,0.2,0.49,0.0,***
pro,web_search,0,52703,73.8,80.5,24665,5.9,,,—
pro,web_search,1-2,400,41.6,56.9,51,1.0,0.56,0.0,***
pro,web_search,3-5,271,44.8,55.1,49,1.8,0.61,0.0,***
pro,web_search,5+,712,42.6,64.9,57,1.1,0.58,0.0,***
