section,feature_or_bucket,used_n,paid_pct_used,paid_pct_not,paid_RR,paid_p,funnel_RR,funnel_p
cohort,session_runners,54074,,,,,,
base_rate,funnel,54074,59.44,,,,,
base_rate,paid,54074,5.48,,,,,
part1_feature,playbook_triggered,288,31.6,5.34,5.919,7.34e-84,1.299,1.40e-09
part1_feature,deepwiki_view,1722,21.25,4.96,4.286,2.81e-187,0.8,3.20e-23
part1_feature,pr_comment,3180,18.74,4.65,4.032,4.43e-251,1.295,4.78e-82
part1_feature,devin_review,30400,7.63,2.71,2.82,1.57e-137,1.384,0.00e+00
part1_feature,mcp_tool_call,6091,12.61,4.57,2.758,2.69e-148,1.233,1.71e-90
part1_feature,has_merge,10454,10.69,4.23,2.53,6.92e-150,1.359,6.71e-305
part1_feature,check_run_created,6054,11.83,4.68,2.529,3.81e-117,1.293,8.54e-140
part1_feature,has_pr,15910,9.43,3.83,2.464,5.17e-150,1.196,2.39e-125
part1_feature,onboarding_tour,31609,7.26,2.96,2.45,8.99e-104,1.692,0.00e+00
part1_feature,web_search,17344,8.65,3.98,2.173,1.20e-109,1.526,0.00e+00
part1_feature,computer_use,24309,7.45,3.87,1.927,5.60e-74,1.199,1.51e-143
part1_feature,suggest_testing_setup,5217,9.39,5.06,1.856,7.16e-39,0.808,1.73e-59
part1_feature,checkpoint_restored,7137,8.95,4.95,1.809,1.86e-43,1.057,5.95e-08
part1_feature,automation_create,149,8.72,5.47,1.595,1.18e-01,1.583,1.73e-17
part2_active_days,1,25094,,,,,35.1,1.52
part2_active_days,2-3,13497,,,,,67.09,4.94
part2_active_days,4-7,11931,,,,,91.22,9.66
part2_active_days,8+,3552,,,,,95.55,21.45
part2_total_prs,0,38164,,,,,56.19,3.83
part2_total_prs,1-2,7711,,,,,49.31,5.77
part2_total_prs,3-5,3411,,,,,76.05,7.62
part2_total_prs,6+,4788,,,,,89.81,16.62
part2_total_acus,0,12,,,,,58.33,0
part2_total_acus,1-5,22767,,,,,22.05,1.8
part2_total_acus,5-15,11754,,,,,73.89,3.77
part2_total_acus,15+,19541,,,,,94.31,10.79
part2_distinct_repos,1,50335,,,,,57.71,4.76
part2_distinct_repos,2,2395,,,,,80.21,12.94
part2_distinct_repos,3+,1344,,,,,87.2,19.12
part2_days_to_first,0,45013,,,,,55.21,5.11
part2_days_to_first,1,3578,,,,,79.65,7.77
part2_days_to_first,2-3,2137,,,,,83.15,6.79
part2_days_to_first,4-7,2076,,,,,81.84,6.26
part2_days_to_first,7+,1270,,,,,75.67,8.43
part3_reg_paid,const,,-4.2138,0.0148,0.00e+00,,
part3_reg_paid,active_days,,0.2062,1.229,4.58e-142,,
part3_reg_paid,total_acus,,0.0119,1.012,3.19e-31,,
part3_reg_paid,has_pr,,0.4174,1.5179,9.25e-11,,
part3_reg_paid,has_merge,,0.0339,1.0344,6.25e-01,,
part3_reg_paid,has_mcp_tool,,0.3545,1.4254,2.75e-12,,
part3_reg_paid,has_deepwiki_view,,0.853,2.3467,2.30e-30,,
part3_reg_paid,has_ci,,0.0344,1.035,5.80e-01,,
part3_reg_paid,has_pr_comment,,0.4317,1.5399,1.20e-10,,
part3_reg_paid,distinct_repos,,-0.0372,0.9635,2.90e-01,,
part4_cmp,deepwiki_view,,2.81,,4.286,,,
part4_cmp,mcp_tool_call,,3.31,,2.758,,,
part4_cmp,pr_comment,,1.87,,4.032,,,
part4_cmp,checkpoint_restored,,1.76,,1.809,,,
part4_cmp,check_run_created,,1.64,,2.529,,,
part4_cmp,has_merge,,1.4,,2.53,,,
part4_cmp,has_pr,,1.21,,2.464,,,
part4_cmp,computer_use,,0.56,,1.927,,,
part4_cmp,devin_review,,0.24,,2.82,,,
