section,key,n,metric1,metric2,metric3
cohort,max_180_37d_webactive,950,,,
cohort,tenure_90plus_trajectory,103,,,
acu_median_weekly,M1,103,0.02,,
acu_median_weekly,M2,103,3.38,,
acu_median_weekly,M3,103,15.52,,
trajectory,Expanding,59,57.3,0.0,120.98
trajectory,Flat,26,25.2,0.0,0.0
trajectory,Declining,18,17.5,248.81,3.25
breadth,one_to_two_plus_repos,15,of_103,among34_m1repo,44
repos_distinct_vs_expand,1,68,51.5,,
repos_distinct_vs_expand,2,12,66.7,,
repos_distinct_vs_expand,3+,23,69.6,,
team_segment,solo_stable,98,56.1,,
team_segment,multi_stable,4,,,
team_segment,org_grew,1,,,
m1_active_days_vs_expand,1-4,73,63.0,,
m1_active_days_vs_expand,5-10,9,66.7,,
m1_active_days_vs_expand,11-20,13,46.2,,
m1_active_days_vs_expand,20+,8,12.5,,
part4_feature,deepwiki_view,103,18.6,13.6,RR=1.37;p=0.6826
part4_feature,devin_review,103,37.3,40.9,RR=0.91;p=0.8661
part4_feature,checkpoint_restored,103,35.6,40.9,RR=0.87;p=0.7302
part4_feature,suggest_testing_setup,103,27.1,43.2,RR=0.63;p=0.1356
part4_feature,mcp_tool_call,103,11.9,20.5,RR=0.58;p=0.3599
part4_feature,check_run_created,103,15.3,29.5,RR=0.52;p=0.1317
part4_feature,pr_comment,103,11.9,25.0,RR=0.47;p=0.1404
part4_feature,computer_use,103,16.9,40.9,RR=0.41;p=0.0131
part4_feature,automation_create,103,0.0,0.0,RR=;p=
part4_feature,cli_usage,103,0.0,0.0,RR=;p=
part4_feature,playbook_triggered,103,1.7,0.0,RR=;p=1.0
