feature,used_n,used_d30_pct,used_churned_pct,not_used_n,not_used_d30_pct,not_used_churned_pct,rr_churn,rr_d30,chi_sq_p,median_sessions_used,median_sessions_not_used,low_n_flag
has_playbook,171,68.42,11.11,47941,69.15,1.2,9.248,0.989,9.021e-01,5,0,
suggest_testing_setup,440,57.95,5.23,47672,69.25,1.2,4.357,0.837,4.315e-07,5,0,
pr_comment,600,56.67,2.33,47512,69.3,1.22,1.908,0.818,3.696e-11,5,0,
check_run_created,666,54.95,1.95,47446,69.35,1.23,1.591,0.792,1.978e-15,5,0,
checkpoint_restored,580,53.79,3.62,47532,69.33,1.21,2.998,0.776,1.155e-15,6,0,
mcp_tool_call,685,53.58,2.48,47427,69.37,1.22,2.036,0.772,9.180e-19,6,0,
has_merge,1120,52.86,1.88,46992,69.54,1.22,1.535,0.76,1.049e-32,4,0,
has_pr,1559,51.83,2.12,46553,69.73,1.21,1.753,0.743,5.193e-51,4,0,
computer_use,1814,46.36,1.65,46298,70.04,1.22,1.355,0.662,1.573e-101,4,0,
web_search,1466,44.95,1.3,46646,69.91,1.23,1.05,0.643,5.647e-92,5,0,
devin_review,2882,42.64,1.6,45230,70.84,1.21,1.315,0.602,3.236e-221,2,0,
onboarding_tour,2738,39.01,1.1,45374,70.97,1.25,0.88,0.55,1.706e-270,2,0,
mcp_shortcut,1,100.0,0.0,48111,69.15,1.24,0.0,1.446,1.000e+00,4,0,LOW_N
structured_output_update,89,74.16,6.74,48023,69.14,1.23,5.497,1.073,3.631e-01,11,0,LOW_N
playbook_triggered,49,59.18,4.08,48063,69.16,1.23,3.308,0.856,1.751e-01,12,0,LOW_N
automation_create,17,52.94,0.0,48095,69.15,1.24,0.0,0.766,2.363e-01,0,0,LOW_N
