feature,used_n,used_d30_pct,used_churned_pct,not_used_n,not_used_d30_pct,not_used_churned_pct,rr_churn,rr_d30,chi_sq_p,median_sessions_used,median_sessions_not_used,low_n_flag
has_playbook,159,67.92,10.69,9456,51.06,0.36,29.736,1.33,3.475e-05,4,0,
suggest_testing_setup,334,52.69,5.39,9281,51.29,0.36,15.157,1.027,6.529e-01,5,0,
checkpoint_restored,479,49.69,3.34,9136,51.42,0.38,8.719,0.966,4.876e-01,5,0,
pr_comment,414,49.03,2.17,9201,51.44,0.46,4.762,0.953,3.639e-01,5,0,
check_run_created,485,48.04,1.86,9130,51.51,0.46,4.034,0.933,1.489e-01,5,0,
mcp_tool_call,521,45.68,2.3,9094,51.66,0.43,5.371,0.884,9.044e-03,6,0,
has_merge,810,45.43,1.6,8805,51.88,0.43,3.719,0.876,5.080e-04,4,0,
has_pr,1143,44.71,1.66,8472,52.23,0.38,4.401,0.856,2.078e-06,4,0,
computer_use,1477,40.28,1.29,8138,53.34,0.39,3.271,0.755,3.298e-20,4,0,
web_search,1205,39.59,0.91,8410,53.02,0.48,1.919,0.747,3.445e-18,5,0,
devin_review,2239,38.77,0.94,7376,55.15,0.41,2.306,0.703,6.767e-42,3,0,
onboarding_tour,2279,36.9,0.31,7336,55.82,0.6,0.512,0.661,5.926e-56,2,0,
structured_output_update,64,73.44,6.25,9551,51.19,0.49,12.701,1.435,6.175e-04,11,0,LOW_N
automation_create,15,60.0,0.0,9600,51.32,0.53,0.0,1.169,6.794e-01,0,0,LOW_N
playbook_triggered,43,58.14,0.0,9572,51.31,0.53,0.0,1.133,4.583e-01,12,0,LOW_N
mcp_shortcut,0,0.0,0.0,9615,51.34,0.53,,,,0,0,LOW_N
